PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
210. Reilly Smith,PIT,32,"LW, RW",Left,76,13,27,40,0.53,3,152,0.09,16:08,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$5,250,000"
211. Tyler Johnson,CHI,32,"RW, C, LW",Right,67,17,14,31,0.46,-35,112,0.15,15:32,-,-,-,-,-,M-NTC,UFA,"$5,000,000","$4,750,000"
212. Thatcher Demko,VAN,27,G,Left,51,-,-,-,-,-,-,-,-,35,14,5,2.45,.918,,UFA,"$5,000,000","$7,000,000"
213. Linus Ullmark,BOS,29,G,Left,40,-,-,-,-,-,-,-,-,22,10,2,2.58,.915,M-NTC,UFA,"$5,000,000","$6,000,000"
214. Joel Farabee,PHI,23,"LW, RW",Left,82,22,28,50,0.61,-13,182,0.12,16:11,-,-,-,-,-,,UFA,"$5,000,000","$4,250,000"
215. Dylan Strome,WSH,26,C,Left,82,27,40,67,0.82,-13,169,0.16,17:57,-,-,-,-,-,,UFA,"$5,000,000","$6,500,000"
216. Drake Batherson,OTT,25,"RW, LW",Right,82,28,38,66,0.80,-9,196,0.14,18:10,-,-,-,-,-,,UFA,"$4,975,000","$5,400,000"
217. Noah Hanifin,VGK,26,LD,Left,80,13,34,47,0.59,19,164,0.08,23:37,-,-,-,-,-,M-NTC,UFA,"$4,950,000","$4,950,000"
218. Conor Garland,VAN,27,"RW, LW",Right,82,20,27,47,0.57,19,200,0.10,14:32,-,-,-,-,-,,UFA,"$4,950,000","$6,000,000"
219. Blake Coleman,CGY,31,"RW, LW",Left,78,30,24,54,0.69,19,191,0.16,17:07,-,-,-,-,-,NTC,UFA,"$4,900,000","$5,900,000"
220. Adin Hill,VGK,27,G,Left,35,-,-,-,-,-,-,-,-,19,12,2,2.71,.909,M-NTC,UFA,"$4,900,000","$5,600,000"
221. Michael Matheson,MTL,29,LD,Left,82,11,51,62,0.76,-24,187,0.06,25:33,-,-,-,-,-,M-NTC,UFA,"$4,875,000","$6,500,000"
222. Elias Lindholm,VAN,28,"C, RW",Right,75,15,29,44,0.59,-14,173,0.09,19:41,-,-,-,-,-,,UFA,"$4,850,000","$4,850,000"
223. Jesperi Kotkaniemi,CAR,22,C,Left,79,12,15,27,0.34,-4,128,0.09,12:58,-,-,-,-,-,,UFA,"$4,820,000","$4,500,000"
224. Alex Tuch,BUF,27,"RW, LW",Right,75,22,37,59,0.79,9,192,0.11,19:30,-,-,-,-,-,M-NTC,UFA,"$4,750,000","$4,750,000"
225. Ilya Mikheyev,VAN,28,"LW, RW",Left,78,11,20,31,0.40,1,147,0.07,14:15,-,-,-,-,-,M-NTC,UFA,"$4,750,000","$5,350,000"
226. Ville Husso,DET,28,G,Left,19,-,-,-,-,-,-,-,-,9,5,0,3.56,.892,M-NTC,UFA,"$4,750,000","$4,750,000"
227. Victor Olofsson,BUF,27,"RW, LW",Left,51,7,8,15,0.29,-1,66,0.11,11:34,-,-,-,-,-,,UFA,"$4,750,000","$4,750,000"
228. Ben Chiarot,DET,32,LD/RD,Left,77,5,15,20,0.26,-4,107,0.05,19:46,-,-,-,-,-,M-NTC,UFA,"$4,750,000","$5,250,000"
229. David Perron,DET,35,"RW, LW",Right,76,17,30,47,0.62,-12,151,0.11,15:37,-,-,-,-,-,M-NTC,UFA,"$4,750,000","$5,150,000"
230. Pavel Zacha,BOS,26,"C, LW",Left,78,21,38,59,0.76,12,148,0.14,18:06,-,-,-,-,-,M-NTC,UFA,"$4,750,000","$5,750,000"
231. Kevin Labanc,SJS,27,"RW, LW",Right,46,2,7,9,0.20,-27,60,0.03,11:37,-,-,-,-,-,,UFA,"$4,725,000","$5,875,000"
