Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
Elias Pettersson,VAN,VAN,L,C,82,34,55,89,20,12,1.09,21,56,13,31,0,2,2,10,207,16.4,19.65,50.8
Matthew Tkachuk,FLA,FLA,L,L,80,26,62,88,19,88,1.1,19,55,6,32,1,1,0,2,280,9.3,18.63,33.3
Robert Thomas,STL,STL,R,C,82,26,60,86,9,48,1.05,17,56,8,27,1,3,0,3,170,15.3,20.97,53.1
Mitch Marner,TOR,TOR,R,R,69,26,59,85,21,18,1.23,17,57,8,27,1,1,0,2,158,16.5,21.28,25.0
Roman Josi,NSH,NSH,L,D,82,23,62,85,12,45,1.04,14,51,9,33,0,1,2,5,268,8.6,24.63,0.0
Jesper Bratt,NJD,NJD,L,L,82,27,56,83,-6,12,1.01,20,55,7,27,0,1,0,7,248,10.9,19.3,36.4
Evan Bouchard,EDM,EDM,R,D,81,18,64,82,34,32,1.01,10,47,8,35,0,0,2,7,220,8.2,23.0,0.0
Steven Stamkos,TBL,TBL,R,C,79,40,41,81,-21,34,1.03,21,42,19,39,0,0,0,6,262,15.3,18.23,56.0
Jason Robertson,DAL,DAL,L,L,82,29,51,80,19,22,0.98,20,52,9,28,0,0,0,4,231,12.6,18.32,0.0
Aleksander Barkov,FLA,FLA,L,C,73,23,57,80,33,24,1.1,18,49,5,29,0,2,0,4,193,11.9,19.63,57.3
Mathew Barzal,NYI,NYI,R,C,80,23,57,80,-4,34,1.0,18,55,5,25,0,0,2,4,240,9.6,20.13,43.0
Zach Hyman,EDM,EDM,R,L,80,54,23,77,36,48,0.96,39,57,15,20,0,0,1,7,290,18.6,19.5,43.8
Nick Suzuki,MTL,MTL,R,C,82,33,44,77,-14,36,0.94,21,46,12,31,0,0,1,1,185,17.8,21.27,52.6
Jake Guentzel,PIT,CAR,L,C,67,30,47,77,25,22,1.15,25,55,5,22,0,0,0,2,238,12.6,20.02,26.1
Vincent Trocheck,NYR,NYR,R,C,82,25,52,77,16,55,0.94,13,52,11,24,1,1,1,5,215,11.6,21.45,58.7
Clayton Keller,ARI,ARI,L,R,78,33,43,76,-20,32,0.97,24,46,9,30,0,0,0,4,228,14.5,19.25,46.2
Victor Hedman,TBL,TBL,L,D,78,13,63,76,18,76,0.97,9,45,4,31,0,0,0,2,168,7.7,24.8,0.0
Chris Kreider,NYR,NYR,L,L,82,39,36,75,19,26,0.91,19,41,18,29,2,5,1,7,246,15.9,18.78,36.5
Nazem Kadri,CGY,CGY,L,C,82,29,46,75,0,43,0.91,19,53,10,22,0,0,2,4,277,10.5,18.43,48.9
Adrian Kempe,LAK,LAK,L,R,77,28,47,75,13,72,0.97,20,44,5,27,3,4,1,4,246,11.4,18.93,23.1
Brandon Hagel,TBL,TBL,L,L,82,26,49,75,1,79,0.91,24,66,2,7,0,2,1,3,184,14.1,19.25,41.0
Gustav Nyquist,NSH,NSH,L,C,81,23,52,75,7,8,0.93,17,49,5,24,1,2,0,4,153,15.0,17.75,38.5
Brady Tkachuk,OTT,OTT,L,L,81,37,37,74,1,134,0.91,25,52,12,22,0,0,1,2,357,10.4,19.15,52.6
Jack Hughes,NJD,NJD,L,C,62,27,47,74,-12,12,1.19,18,43,9,31,0,0,2,4,274,9.9,20.97,37.2
Brock Boeser,VAN,VAN,R,R,81,40,33,73,23,14,0.9,24,48,16,25,0,0,1,4,204,19.6,18.6,52.0
Kevin Fiala,LAK,LAK,L,L,82,29,44,73,1,62,0.89,18,43,11,30,0,0,1,2,225,12.9,18.03,26.3
Adam Fox,NYR,NYR,R,D,72,17,56,73,21,36,1.01,10,38,6,33,1,2,1,5,137,12.4,23.45,0.0
Carter Verhaeghe,FLA,FLA,L,C,76,34,38,72,17,36,0.95,26,51,8,21,0,0,1,7,246,13.8,17.97,44.1
Lucas Raymond,DET,DET,R,L,82,31,41,72,-12,30,0.88,25,56,6,16,0,0,3,4,163,19.0,17.75,40.0
Mika Zibanejad,NYR,NYR,R,C,81,26,46,72,15,30,0.89,12,35,12,31,2,6,2,3,221,11.8,19.75,49.3
Mark Scheifele,WPG,WPG,R,C,74,25,47,72,19,57,0.97,19,54,6,18,0,0,1,4,154,16.2,20.18,48.1
Anze Kopitar,LAK,LAK,L,C,81,26,44,70,11,22,0.86,16,44,9,23,1,3,0,6,133,19.6,19.65,55.1
Tim Stützle,OTT,OTT,L,C,75,18,52,70,-17,28,0.93,17,50,1,20,0,0,2,2,192,9.4,21.12,46.7
Noah Dobson,NYI,NYI,R,D,79,10,60,70,12,36,0.89,9,45,1,24,0,1,0,4,174,5.8,24.52,0.0
Jonathan Marchessault,VGK,VGK,R,R,82,42,27,69,-2,40,0.84,34,52,8,17,0,0,2,5,266,15.8,17.9,25.0
Brock Nelson,NYI,NYI,L,C,82,34,35,69,-5,28,0.84,24,48,9,19,1,2,1,2,250,13.6,18.08,45.2
Dylan Larkin,DET,DET,L,C,68,33,36,69,5,39,1.01,17,41,14,26,2,2,2,5,221,14.9,20.17,55.4
Matt Boldy,MIN,MIN,L,L,75,29,40,69,5,48,0.92,19,44,10,25,0,0,1,7,227,12.8,18.92,42.1
Ryan O'Reilly,NSH,NSH,L,C,82,26,43,69,6,18,0.84,12,41,14,28,0,0,0,1,180,14.4,19.77,53.9
Josh Morrissey,WPG,WPG,L,D,81,10,59,69,34,44,0.85,8,50,2,19,0,0,0,1,196,5.1,24.18,0.0
Bo Horvat,NYI,NYI,L,C,81,33,35,68,-1,39,0.84,22,48,10,18,1,2,3,6,248,13.3,19.7,53.9
Travis Konecny,PHI,PHI,R,R,76,33,35,68,4,67,0.89,23,52,4,9,6,7,0,5,244,13.5,19.83,40.2
Jack Eichel,VGK,VGK,R,C,63,31,37,68,4,27,1.08,20,44,11,22,0,2,2,7,278,11.2,20.52,45.5
Seth Jarvis,CAR,CAR,R,C,81,33,34,67,23,14,0.83,18,44,13,20,2,3,1,9,176,18.8,18.75,44.6
Jordan Kyrou,STL,STL,R,C,82,31,36,67,-12,22,0.82,23,46,8,21,0,0,0,4,251,12.4,18.33,33.3
Brad Marchand,BOS,BOS,L,L,82,29,38,67,2,78,0.82,19,37,7,26,3,4,2,6,207,14.0,19.1,43.6
Joe Pavelski,DAL,DAL,R,C,82,27,40,67,12,20,0.82,16,46,11,21,0,0,1,4,194,13.9,16.82,51.1
Evgeni Malkin,PIT,PIT,L,C,82,27,40,67,5,70,0.82,21,49,6,18,0,0,0,2,199,13.6,18.58,48.6
Dylan Strome,WSH,WSH,L,C,82,27,40,67,-13,22,0.82,21,45,6,22,0,0,3,5,169,16.0,17.95,52.8
Alex DeBrincat,DET,DET,R,R,82,27,40,67,1,34,0.82,16,48,11,19,0,0,0,1,237,11.4,17.9,42.1
Nico Hischier,NJD,NJD,L,C,71,27,40,67,-5,12,0.94,20,49,6,17,1,1,0,4,182,14.8,19.48,56.6
Ryan Nugent-Hopkins,EDM,EDM,L,C,80,18,49,67,10,36,0.84,14,38,4,26,0,3,0,3,183,9.8,19.62,48.0
Drake Batherson,OTT,OTT,R,R,82,28,38,66,-9,42,0.8,21,44,7,22,0,0,1,4,196,14.3,18.17,40.9
Wyatt Johnston,DAL,DAL,R,C,82,32,33,65,14,38,0.79,26,52,3,10,3,3,0,3,216,14.8,17.0,50.2
Alex Ovechkin,WSH,WSH,R,L,79,31,34,65,-22,20,0.82,18,37,13,28,0,0,1,5,272,11.4,19.22,0.0
Roope Hintz,DAL,DAL,L,C,80,30,35,65,26,22,0.81,19,42,8,19,3,4,2,6,182,16.5,17.23,56.2
John Tavares,TOR,TOR,L,C,80,29,36,65,2,30,0.81,20,45,9,20,0,0,1,6,279,10.4,17.87,59.3
Cole Caufield,MTL,MTL,R,R,82,28,37,65,-4,16,0.79,19,44,9,21,0,0,3,7,314,8.9,19.42,43.8
Matt Duchene,DAL,DAL,L,C,80,25,40,65,15,20,0.81,19,49,6,16,0,0,2,7,172,14.5,16.77,56.5
Joel Eriksson Ek,MIN,MIN,L,C,77,30,34,64,18,60,0.83,17,42,12,21,1,1,0,5,267,11.2,20.53,49.7
Claude Giroux,OTT,OTT,R,R,82,21,43,64,-14,26,0.78,16,42,3,19,2,3,1,2,183,11.5,20.1,58.0
Pavel Buchnevich,STL,STL,L,L,80,27,36,63,3,48,0.79,17,42,8,18,2,3,2,5,207,13.0,19.82,37.4
Mats Zuccarello,MIN,MIN,L,R,69,12,51,63,-5,30,0.91,7,30,5,33,0,0,0,1,173,6.9,18.9,37.5
Jared McCann,SEA,SEA,L,L,80,29,33,62,-10,31,0.78,18,37,9,23,2,2,1,3,216,13.4,16.77,47.9
Mike Matheson,MTL,MTL,L,D,82,11,51,62,-24,58,0.76,4,32,5,28,2,2,0,0,187,5.9,25.55,0.0
Kyle Connor,WPG,WPG,L,L,65,34,27,61,-6,6,0.94,29,42,5,19,0,0,3,10,221,15.4,19.72,28.6
Nikolaj Ehlers,WPG,WPG,L,L,82,25,36,61,27,29,0.74,25,54,0,7,0,0,1,7,233,10.7,15.87,26.7
Nick Schmaltz,ARI,ARI,R,C,79,22,39,61,-16,10,0.77,11,39,10,21,1,1,1,3,158,13.9,19.18,41.0
Connor Bedard,CHI,CHI,R,C,68,22,39,61,-44,28,0.9,18,40,4,21,0,0,1,2,206,10.7,19.78,38.9
Frank Vatrano,ANA,ANA,L,R,82,37,23,60,-20,85,0.73,21,36,13,20,3,4,2,7,272,13.6,18.35,33.3
William Karlsson,VGK,VGK,L,C,70,30,30,60,15,22,0.86,22,43,7,15,1,2,0,2,175,17.1,17.6,56.2
Charlie Coyle,BOS,BOS,R,C,82,25,35,60,-2,38,0.73,17,44,7,11,1,5,0,5,147,17.0,18.07,51.6
Jamie Benn,DAL,DAL,L,L,82,21,39,60,8,41,0.73,13,35,7,22,1,3,0,3,164,12.8,15.12,61.2
Mikael Granlund,SJS,SJS,L,C,69,12,48,60,-23,32,0.87,11,36,1,23,0,1,1,1,134,9.0,20.97,46.8
Johnny Gaudreau,CBJ,CBJ,L,L,81,12,48,60,-27,22,0.74,11,42,1,18,0,0,1,3,160,7.5,18.82,0.0
Yegor Sharangovich,CGY,CGY,L,C,82,31,28,59,-29,8,0.72,22,35,6,17,3,7,1,4,179,17.3,17.32,39.0
Sean Monahan,MTL,WPG,L,C,83,26,33,59,-1,12,0.71,15,36,9,21,2,2,0,5,171,15.2,18.1,54.9
Alex Tuch,BUF,BUF,R,R,75,22,37,59,9,54,0.79,19,47,2,11,1,1,0,7,192,11.5,19.5,40.0
Pavel Zacha,BOS,BOS,L,C,78,21,38,59,12,18,0.76,15,44,6,15,0,0,1,6,148,14.2,18.1,54.8
Oliver Bjorkstrand,SEA,SEA,R,R,82,20,39,59,-20,12,0.72,12,34,8,25,0,0,0,3,186,10.8,16.18,32.1
Rasmus Dahlin,BUF,BUF,L,D,81,20,39,59,-3,66,0.73,14,39,6,20,0,0,1,2,235,8.5,25.42,0.0
Morgan Rielly,TOR,TOR,L,D,72,7,51,58,7,27,0.81,6,38,1,20,0,0,0,0,173,4.1,23.73,0.0
Logan Morrison,SEA,SEA,R,C,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,6,0.0,13.13,45.2
Cameron Butler,CBJ,CBJ,R,R,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0
Arshdeep Bains,VAN,VAN,L,L,8,0,0,0,-5,6,0.0,0,0,0,0,0,0,0,0,4,0.0,11.8,0.0
Declan Carlile,TBL,TBL,L,D,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,11.45,0.0
Marc Johnstone,PIT,PIT,R,R,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.32,100.0
Brandon Scanlin,NYR,NYR,L,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,10.77,0.0
Jiri Kulich,BUF,BUF,L,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,14.88,0.0
Fraser Minten,TOR,TOR,L,C,4,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,3,0.0,11.43,48.7
Matt Savoie,BUF,BUF,R,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.92,0.0
Brian Halonen,NJD,NJD,R,L,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.0,8.28,0.0
Marshall Rifai,TOR,TOR,L,D,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,11.67,0.0
Lucas Condotta,MTL,MTL,L,L,3,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,7.5,50.0
Georgii Merkulov,BOS,BOS,L,C,4,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,3,0.0,10.58,21.4
Filip Roos,CHI,CHI,L,D,4,0,0,0,-4,0,0.0,0,0,0,0,0,0,0,0,2,0.0,14.73,0.0
Pavol Regenda,ANA,ANA,L,L,5,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,7,0.0,11.57,16.7
Maksymilian Szuber,ARI,ARI,L,D,1,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,1,0.0,16.98,0.0
Pierrick Dube,WSH,WSH,R,R,3,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,3,0.0,9.33,0.0
Gavin Brindley,CBJ,CBJ,R,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,12.33,0.0
Bradly Nadeau,CAR,CAR,R,L,1,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,3,0.0,19.13,0.0
Akito Hirose,VAN,VAN,L,D,3,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,12.1,0.0
Ondrej Pavel,COL,COL,L,C,2,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,3,0.0,6.1,33.3
Cole McWard,VAN,VAN,R,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,9.08,0.0
Nikolas Matinpalo,OTT,OTT,R,D,4,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,7.0,0.0
Patrik Koch,ARI,ARI,L,D,1,0,0,0,0,10,0.0,0,0,0,0,0,0,0,0,1,0.0,9.33,0.0
